date,country,lat,long,type,cases,uid,iso2,iso3,code3,combined_key,population,continent_name,continent_code
6/20/2020,Algeria,28.0339,1.6596,confirmed,127,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/21/2020,Algeria,28.0339,1.6596,confirmed,140,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/22/2020,Algeria,28.0339,1.6596,confirmed,149,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/23/2020,Algeria,28.0339,1.6596,confirmed,156,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/24/2020,Algeria,28.0339,1.6596,confirmed,172,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/25/2020,Algeria,28.0339,1.6596,confirmed,197,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/26/2020,Algeria,28.0339,1.6596,confirmed,240,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/27/2020,Algeria,28.0339,1.6596,confirmed,283,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/28/2020,Algeria,28.0339,1.6596,confirmed,305,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/29/2020,Algeria,28.0339,1.6596,confirmed,298,12,DZ,DZA,12,Algeria,43851043,Africa,AF
6/30/2020,Algeria,28.0339,1.6596,confirmed,336,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/1/2020,Algeria,28.0339,1.6596,confirmed,365,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/2/2020,Algeria,28.0339,1.6596,confirmed,385,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/3/2020,Algeria,28.0339,1.6596,confirmed,413,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/4/2020,Algeria,28.0339,1.6596,confirmed,430,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/5/2020,Algeria,28.0339,1.6596,confirmed,441,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/6/2020,Algeria,28.0339,1.6596,confirmed,463,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/7/2020,Algeria,28.0339,1.6596,confirmed,475,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/8/2020,Algeria,28.0339,1.6596,confirmed,469,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/9/2020,Algeria,28.0339,1.6596,confirmed,460,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/10/2020,Algeria,28.0339,1.6596,confirmed,434,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/11/2020,Algeria,28.0339,1.6596,confirmed,470,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/12/2020,Algeria,28.0339,1.6596,confirmed,483,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/13/2020,Algeria,28.0339,1.6596,confirmed,494,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/14/2020,Algeria,28.0339,1.6596,confirmed,527,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/15/2020,Algeria,28.0339,1.6596,confirmed,554,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/16/2020,Algeria,28.0339,1.6596,confirmed,585,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/17/2020,Algeria,28.0339,1.6596,confirmed,593,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/18/2020,Algeria,28.0339,1.6596,confirmed,601,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/19/2020,Algeria,28.0339,1.6596,confirmed,535,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/20/2020,Algeria,28.0339,1.6596,confirmed,607,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/21/2020,Algeria,28.0339,1.6596,confirmed,587,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/22/2020,Algeria,28.0339,1.6596,confirmed,594,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/23/2020,Algeria,28.0339,1.6596,confirmed,612,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/24/2020,Algeria,28.0339,1.6596,confirmed,675,12,DZ,DZA,12,Algeria,43851043,Africa,AF
7/25/2020,Algeria,28.0339,1.6596,confirmed,605,12,DZ,DZA,12,Algeria,43851043,Africa,AF
